"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2000-0642-BLZ","Keith","Belize","Latin America and the Caribbean","San Pedro and Belize cities, Cay Caulker and Ambergris Caye islands (Belize province), Corozal, Cayo, Orange Walk provinces",2000,490.955
"2000-0643-MEX","Keith","Mexico","Latin America and the Caribbean","Puebla, Campeche, Quintana Roo, Yucatan, Veracruz, Chiapas, Oaxaca, Tabasco, Tamaulipas provinces",2000,1.769
"2000-0644-NIC","Keith","Nicaragua","Latin America and the Caribbean","Léon, Chinandega, Managua, Granada, Rivas provinces",2000,1.769
"2000-0645-SLV","Keith","El Salvador","Latin America and the Caribbean","Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan provinces",2000,NA
"2000-0652-USA","Leslie","United States of America","Northern America","Miami-Dade, Monroe, Broward, Collier districts (Florida province)",2000,387.513
"2001-0242-USA","Allison","United States of America","Northern America","Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",2001,10324.983
"2001-0488-MEX","Dalila","Mexico","Latin America and the Caribbean","Guerrero, Chiapas provinces",2001,NA
"2001-0553-BLZ","Iris","Belize","Latin America and the Caribbean","Toledo, Stann Creek provinces",2001,430.208
"2001-0562-MEX","Juliette","Mexico","Latin America and the Caribbean","Baja California Sur province",2001,688.332
"2001-0570-DOM","Iris","Dominican Republic","Latin America and the Caribbean","Santo Domingo province",2001,0.017
"2001-0570-GTM","Iris","Guatemala","Latin America and the Caribbean","Peten, Zacapa, Quetzaltenango provinces",2001,0.172
"2001-0570-MEX","Iris","Mexico","Latin America and the Caribbean","Oaxaca province",2001,1.721
"2001-0603-HND","Michelle","Honduras","Latin America and the Caribbean","Colon, Atlantida, Yoro, Cortes, Gracias A Dios, Islas De Bahia provinces",2001,8.604
"2001-0611-CYM","Michelle","Cayman Islands","Latin America and the Caribbean",NA,2001,103.25
"2001-0611-HTI","Michelle","Haiti","Latin America and the Caribbean","Grande Anse, Centre, Sud, Nippes, Ouest, Artibonite, Nord Ouest, Nord, Nord Est, Sud Est provinces",2001,0.034
"2001-0611-NIC","Michelle","Nicaragua","Latin America and the Caribbean","Atlantico Norte province",2001,1.721
"2001-0612-CUB","Hurricane Michelle","Cuba","Latin America and the Caribbean","Matanzas, Cienfuegos, Villa Clara, Sancti Spiritus, Isla de la Juventud, Pinar del Rio, Ciudad De La Habana, Ciego de Avila provinces",2001,172.083
"2001-0615-JAM","Michelle","Jamaica","Latin America and the Caribbean","Clarendon, Hanover, Manchester, Portland, Saint Andrew And Kingston, Saint Ann, Saint Catherine, Saint Elizabeth, Saint James, Saint Mary, Saint Thomas, Trelawny, Westmoreland provinces",2001,95.484
"2001-0671-BHS","Michelle","Bahamas","Latin America and the Caribbean","New Providence island (Administrative unit not available)",2001,516.249
"2001-0735-MEX","Chantal","Mexico","Latin America and the Caribbean","Quintana Roo province",2001,NA
