"STORM_ID","NAME","DATE","TIME","RECORD_ID","STATUS","LAT","LON","WIND","PRESSURE","YEAR","MONTH","DAY","COUNTRY"
"AL072000","DEBBY","2000-08-22",600,"L","HU",17.5,-61.7,65,993,2000,8,22,"Antigua and Barbuda"
"AL072000","DEBBY","2000-08-22",915,"L","HU",17.9,-62.8,65,993,2000,8,22,"Saint-Barthélemy"
"AL072000","DEBBY","2000-08-22",1500,"L","HU",18.5,-64.4,65,994,2000,8,22,"British Virgin Islands"
"AL092000","UNNAMED","2000-09-09",1000,"L","TD",29.9,-93.9,25,1009,2000,9,9,"United States"
"AL112000","GORDON","2000-09-18",300,"L","TS",29.3,-83.2,55,991,2000,9,18,"United States"
"AL122000","HELENE","2000-09-22",1200,"L","TS",30.5,-86.6,35,1006,2000,9,22,"United States"
"AL152000","KEITH","2000-10-02",2300,"L","HU",17.9,-88,65,988,2000,10,2,"Belize"
"AL152000","KEITH","2000-10-03",300,"L","TS",17.9,-88.2,60,990,2000,10,3,"Belize"
"AL152000","KEITH","2000-10-05",1800,"L","HU",22.6,-97.9,80,980,2000,10,5,"Mexico"
"AL012001","ALLISON","2001-06-05",2100,"L","TS",28.9,-95.3,45,1003,2001,6,5,"United States"
"AL012001","ALLISON","2001-06-11",200,"L","SD",29.6,-91.6,30,1004,2001,6,11,"United States"
"AL032001","BARRY","2001-08-06",500,"L","TS",30.4,-86.3,60,990,2001,8,6,"United States"
"AL042001","CHANTAL","2001-08-21",200,"L","TS",18.1,-87.8,60,999,2001,8,21,"Belize"
"AL082001","GABRIELLE","2001-09-14",1200,"L","TS",27.1,-82.6,60,983,2001,9,14,"United States"
"AL092001","UNNAMED","2001-09-20",0,"L","TD",13.9,-83.5,30,1006,2001,9,20,"Nicaragua"
"AL112001","IRIS","2001-10-09",200,"L","HU",16.3,-88.4,125,948,2001,10,9,"Belize"
"AL132001","KAREN","2001-10-15",1200,"L","TS",44.2,-64.8,40,998,2001,10,15,"Canada"
