"YEAR","MONTH","MONTH_ID","LANDFALL_COUNT","OBS_ID","PRED_ID","DATE","ALL_ID"
2000,"January",1,0,1,NA,-1,1
2001,"January",1,0,2,NA,-0.931034482758621,2
2002,"January",1,0,3,NA,-0.862068965517241,3
2003,"January",1,0,4,NA,-0.793103448275862,4
2004,"January",1,0,5,NA,-0.724137931034483,5
2005,"January",1,0,6,NA,-0.655172413793103,6
2006,"January",1,0,7,NA,-0.586206896551724,7
2007,"January",1,0,8,NA,-0.517241379310345,8
2008,"January",1,0,9,NA,-0.448275862068966,9
2009,"January",1,0,10,NA,-0.379310344827586,10
2010,"January",1,0,11,NA,-0.310344827586207,11
2011,"January",1,0,12,NA,-0.241379310344828,12
2012,"January",1,0,13,NA,-0.172413793103448,13
2013,"January",1,0,14,NA,-0.103448275862069,14
2014,"January",1,0,15,NA,-0.0344827586206896,15
2015,"January",1,0,16,NA,0.0344827586206897,16
2016,"January",1,1,17,NA,0.103448275862069,17
2017,"January",1,0,18,NA,0.172413793103448,18
2018,"January",1,0,19,NA,0.241379310344828,19
2019,"January",1,0,20,NA,0.310344827586207,20
2020,"January",1,0,21,NA,0.379310344827586,21
2021,"January",1,0,22,NA,0.448275862068966,22
2022,"January",1,0,23,NA,0.517241379310345,23
2023,"January",1,1,24,NA,0.586206896551724,24
2024,"January",1,0,25,NA,0.655172413793103,25
2000,"February",2,0,26,NA,-1,26
2001,"February",2,0,27,NA,-0.931034482758621,27
2002,"February",2,0,28,NA,-0.862068965517241,28
2003,"February",2,0,29,NA,-0.793103448275862,29
2004,"February",2,0,30,NA,-0.724137931034483,30
2005,"February",2,0,31,NA,-0.655172413793103,31
2006,"February",2,0,32,NA,-0.586206896551724,32
2007,"February",2,0,33,NA,-0.517241379310345,33
2008,"February",2,0,34,NA,-0.448275862068966,34
2009,"February",2,0,35,NA,-0.379310344827586,35
2010,"February",2,0,36,NA,-0.310344827586207,36
2011,"February",2,0,37,NA,-0.241379310344828,37
2012,"February",2,0,38,NA,-0.172413793103448,38
2013,"February",2,0,39,NA,-0.103448275862069,39
2014,"February",2,0,40,NA,-0.0344827586206896,40
2015,"February",2,0,41,NA,0.0344827586206897,41
2016,"February",2,0,42,NA,0.103448275862069,42
2017,"February",2,0,43,NA,0.172413793103448,43
2018,"February",2,0,44,NA,0.241379310344828,44
2019,"February",2,0,45,NA,0.310344827586207,45
2020,"February",2,0,46,NA,0.379310344827586,46
2021,"February",2,0,47,NA,0.448275862068966,47
2022,"February",2,0,48,NA,0.517241379310345,48
2023,"February",2,0,49,NA,0.586206896551724,49
2024,"February",2,0,50,NA,0.655172413793103,50
2000,"March",3,0,51,NA,-1,51
2001,"March",3,0,52,NA,-0.931034482758621,52
2002,"March",3,0,53,NA,-0.862068965517241,53
2003,"March",3,0,54,NA,-0.793103448275862,54
2004,"March",3,0,55,NA,-0.724137931034483,55
2005,"March",3,0,56,NA,-0.655172413793103,56
2006,"March",3,0,57,NA,-0.586206896551724,57
2007,"March",3,0,58,NA,-0.517241379310345,58
2008,"March",3,0,59,NA,-0.448275862068966,59
2009,"March",3,0,60,NA,-0.379310344827586,60
2010,"March",3,0,61,NA,-0.310344827586207,61
2011,"March",3,0,62,NA,-0.241379310344828,62
2012,"March",3,0,63,NA,-0.172413793103448,63
2013,"March",3,0,64,NA,-0.103448275862069,64
2014,"March",3,0,65,NA,-0.0344827586206896,65
2015,"March",3,0,66,NA,0.0344827586206897,66
2016,"March",3,0,67,NA,0.103448275862069,67
2017,"March",3,0,68,NA,0.172413793103448,68
2018,"March",3,0,69,NA,0.241379310344828,69
2019,"March",3,0,70,NA,0.310344827586207,70
2020,"March",3,0,71,NA,0.379310344827586,71
2021,"March",3,0,72,NA,0.448275862068966,72
2022,"March",3,0,73,NA,0.517241379310345,73
2023,"March",3,0,74,NA,0.586206896551724,74
2024,"March",3,0,75,NA,0.655172413793103,75
2000,"April",4,0,76,NA,-1,76
2001,"April",4,0,77,NA,-0.931034482758621,77
2002,"April",4,0,78,NA,-0.862068965517241,78
2003,"April",4,0,79,NA,-0.793103448275862,79
2004,"April",4,0,80,NA,-0.724137931034483,80
2005,"April",4,0,81,NA,-0.655172413793103,81
2006,"April",4,0,82,NA,-0.586206896551724,82
2007,"April",4,0,83,NA,-0.517241379310345,83
2008,"April",4,0,84,NA,-0.448275862068966,84
2009,"April",4,0,85,NA,-0.379310344827586,85
