"ALL_ID","YEAR","LOCATION","LOC_ID","LANDFALL_NBR","OBS_ID","PRED_ID","1","2","3","4","5","6","7","8","9","10"
1,2000,"Antigua and Barbuda",1,1,1,NA,1,0,0,0,0,0,0,0,0,0
2,2001,"Antigua and Barbuda",1,0,2,NA,1,0,0,0,0,0,0,0,0,0
3,2002,"Antigua and Barbuda",1,0,3,NA,1,0,0,0,0,0,0,0,0,0
4,2003,"Antigua and Barbuda",1,0,4,NA,1,0,0,0,0,0,0,0,0,0
5,2004,"Antigua and Barbuda",1,0,5,NA,1,0,0,0,0,0,0,0,0,0
6,2005,"Antigua and Barbuda",1,0,6,NA,1,0,0,0,0,0,0,0,0,0
7,2006,"Antigua and Barbuda",1,0,7,NA,1,0,0,0,0,0,0,0,0,0
8,2007,"Antigua and Barbuda",1,0,8,NA,1,0,0,0,0,0,0,0,0,0
9,2008,"Antigua and Barbuda",1,0,9,NA,1,0,0,0,0,0,0,0,0,0
10,2009,"Antigua and Barbuda",1,0,10,NA,1,0,0,0,0,0,0,0,0,0
11,2010,"Antigua and Barbuda",1,0,11,NA,1,0,0,0,0,0,0,0,0,0
12,2011,"Antigua and Barbuda",1,0,12,NA,1,0,0,0,0,0,0,0,0,0
13,2012,"Antigua and Barbuda",1,0,13,NA,1,0,0,0,0,0,0,0,0,0
14,2013,"Antigua and Barbuda",1,0,14,NA,1,0,0,0,0,0,0,0,0,0
15,2014,"Antigua and Barbuda",1,1,15,NA,1,0,0,0,0,0,0,0,0,0
16,2015,"Antigua and Barbuda",1,0,16,NA,1,0,0,0,0,0,0,0,0,0
17,2016,"Antigua and Barbuda",1,0,17,NA,1,0,0,0,0,0,0,0,0,0
18,2017,"Antigua and Barbuda",1,1,18,NA,1,0,0,0,0,0,0,0,0,0
19,2018,"Antigua and Barbuda",1,0,19,NA,1,0,0,0,0,0,0,0,0,0
20,2019,"Antigua and Barbuda",1,0,20,NA,1,0,0,0,0,0,0,0,0,0
21,2020,"Antigua and Barbuda",1,1,21,NA,1,0,0,0,0,0,0,0,0,0
22,2021,"Antigua and Barbuda",1,0,22,NA,1,0,0,0,0,0,0,0,0,0
