"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2000-0652-USA","Leslie","United States of America","Northern America","Miami-Dade, Monroe, Broward, Collier districts (Florida province)",2000,387.513
"2001-0242-USA","Allison","United States of America","Northern America","Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",2001,10324.983
"2002-0652-USA","Isidore","United States of America","Northern America","Louisiane, Mississippi, Alabama, Tennessee provinces",2002,508.189
"2002-0724-USA","Lili","United States of America","Northern America","St. Tammany, Terrebonne, Lafayette, Acadia, Evangeline, Rapides districts (Louisiana province)",2002,3387.927
"2003-0468-USA","Isabel","United States of America","Northern America","North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces",2003,5581.942
"2003-0782-USA","Bill","United States of America","Northern America","Orleans, St. John the Baptist, Terrebonne, St. Tammany, Tangipahoa districts (Louisiana province), Hancock, Harrison, Jackson, Pike, Walthall districts (Mississippi province), Bay district (Florida province), Mobile, Baldwin, Lee districts (Alabama province), Sumter, Bulloch, Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), Wake district (North Carolina province)",2003,82.818
"2004-0415-USA","Charley","United States of America","Northern America","Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces",2004,25810.787
"2004-0448-USA","Gaston","United States of America","Northern America","Richmond, Lynchburg, Chesterfield districts (Virginia province), South Carolina, North Carolina provinces",2004,100.823
"2004-0455-USA","Frances","United States of America","Northern America","Martin, Palm Beach districts (Florida province), North Carolina, South Carolina, Ohio provinces",2004,17744.916
"2004-0462-USA","Ivan","United States of America","Northern America","Alabama, Louisiana, Mississippi, Florida, Pennsylvania, Maryland, New Jersey, Ohio, North Carolina, West Virginia, Georgia, Tennessee provinces",2004,29037.135
"2004-0473-USA","Jeanne","United States of America","Northern America","Florida province",2004,12905.394
