Tropical Cyclone Billion-Dollar Disasters to affect the U.S. from 2000-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Tropical Storm Allison (June 2001)",Tropical Cyclone,20010605,20010617,15254.4,8522,43
"Hurricane Lili (October 2002)",Tropical Cyclone,20020801,20020805,1955,1104.5,2
"Tropical Storm Isidore (September 2002)",Tropical Cyclone,20020925,20020927,2024,1150,5
"Hurricane Isabel (September 2003)",Tropical Cyclone,20030918,20030919,9432.4,5484,55
"Hurricane Charley (August 2004)",Tropical Cyclone,20040813,20040814,26879.2,15999.5,35
"Hurricane Frances (September 2004)",Tropical Cyclone,20040903,20040909,16464,9800,48
"Hurricane Ivan (September 2004)",Tropical Cyclone,20040912,20040921,34440.9,20500.5,57
"Hurricane Jeanne (September 2004)",Tropical Cyclone,20040915,20040929,12594.1,7496.5,28
"Hurricane Dennis (July 2005)",Tropical Cyclone,20050709,20050711,4066.9,2495,15
"Hurricane Katrina (August 2005)",Tropical Cyclone,20050825,20050830,202547.9,125029.5,1833
"Hurricane Rita (September 2005)",Tropical Cyclone,20050920,20050924,29785.2,18500.1,119
"Hurricane Wilma (October 2005)",Tropical Cyclone,20051024,20051024,30400,19000,35
"Hurricane Dolly (July 2008)",Tropical Cyclone,20080723,20080725,1837.6,1267.3,3
"Hurricane Gustav (September 2008)",Tropical Cyclone,20080831,20080903,8755.6,5997,53
"Hurricane Ike (September 2008)",Tropical Cyclone,20080912,20080914,43798.3,29998.8,112
"Hurricane Irene (August 2011)",Tropical Cyclone,20110826,20110828,19026.6,13494,45
"Tropical Storm Lee (September 2011)",Tropical Cyclone,20110901,20110905,3542.7,2512.5,21
"Hurricane Isaac (August 2012)",Tropical Cyclone,20120826,20120831,3841.3,2763.5,9
"Hurricane Sandy (October 2012)",Tropical Cyclone,20121030,20121031,89754.6,65039.6,159
"Hurricane Matthew (October 2016)",Tropical Cyclone,20161008,20161012,13200,10000,49
"Hurricane Harvey (August 2017)",Tropical Cyclone,20170825,20170831,161250,125000,89
"Hurricane Irma (September 2017)",Tropical Cyclone,20170906,20170912,64500,50000,97
"Hurricane Maria (September 2017)",Tropical Cyclone,20170919,20170921,116100,90000,2981
"Hurricane Florence (September 2018)",Tropical Cyclone,20180913,20180916,30240,24000,53
"Hurricane Michael (October 2018)",Tropical Cyclone,20181010,20181011,31468.5,24975,49
"Hurricane Dorian (September 2019)",Tropical Cyclone,20190828,20190906,1996.4,1610,10
"Tropical Storm Imelda (September 2019)",Tropical Cyclone,20190917,20190921,6200,5000,5
"Hurricane Hanna (July 2020)",Tropical Cyclone,20200725,20200726,1322.3,1075,0
"Hurricane Isaias (August 2020)",Tropical Cyclone,20200803,20200804,5851.1,4757,16
"Hurricane Laura (August 2020)",Tropical Cyclone,20200827,20200828,28554.6,23215,42
"Hurricane Sally (September 2020)",Tropical Cyclone,20200915,20200917,8947,7274,5
"Hurricane Delta (October 2020)",Tropical Cyclone,20201009,20201011,3526.7,2867,5
"Hurricane Zeta (October 2020)",Tropical Cyclone,20201028,20201029,5353,4352,6
"Tropical Storm Eta (November 2020)",Tropical Cyclone,20201108,20201112,1795.9,1460,12
"Tropical Storm Elsa (July 2021)",Tropical Cyclone,20210707,20210709,1419.5,1213,1
"Tropical Storm Fred (August 2021)",Tropical Cyclone,20210816,20210818,1494.3,1277,7
"Hurricane Ida (August 2021)",Tropical Cyclone,20210829,20210901,86079.5,73572,96
"Hurricane Nicholas (September 2021)",Tropical Cyclone,20210914,20210918,1188.8,1016,0
"Hurricane Fiona (September 2022)",Tropical Cyclone,20220917,20220918,2710.8,2510,25
"Hurricane Ian (September 2022)",Tropical Cyclone,20220928,20220930,120744,111800,152
"Hurricane Nicole (November 2022)",Tropical Cyclone,20221110,20221111,1091.4,1020,5
"Typhoon Mawar (May 2023)",Tropical Cyclone,20230524,20230525,4462.5,4250,2
"Hurricane Idalia (August 2023)",Tropical Cyclone,20230829,20230831,3628.9,3456,5
"Hurricane Beryl (July 2024)",Tropical Cyclone,20240708,20240708,7363.2,7219,46
"Hurricane Debby (August 2024)",Tropical Cyclone,20240805,20240809,2501,2476,17
"Hurricane Francine (September 2024)",Tropical Cyclone,20240911,20240912,1303.8,1291,0
"Hurricane Helene (September 2024)",Tropical Cyclone,20240924,20240929,79508.2,78721,219
"Hurricane Milton (October 2024)",Tropical Cyclone,20241009,20241010,34592.5,34250,32
